Date,WeightedAverage,TargetCashRate
31-Mar-2005,71.7,5.5
30-Jun-2005,72.2,5.5
30-Sep-2005,72.1,5.5
31-Dec-2005,73.5,5.5
31-Mar-2006,74.3,5.5
30-Jun-2006,77,5.75
30-Sep-2006,78.4,6.0
31-Dec-2006,79.8,6.25
31-Mar-2007,80.5,6.25
30-Jun-2007,84.1,6.25
30-Sep-2007,87.1,6.5
31-Dec-2007,90.4,6.75
31-Mar-2008,90.8,7.25
30-Jun-2008,90,7.25
30-Sep-2008,88,7.0
31-Dec-2008,86.8,4.25
31-Mar-2009,86.6,3.25
30-Jun-2009,90.2,3.0
30-Sep-2009,94,3.0
31-Dec-2009,99.2,3.75
31-Mar-2010,102.3,4.0
30-Jun-2010,104.3,4.5
30-Sep-2010,103,4.5
31-Dec-2010,103.6,4.75
31-Mar-2011,102.7,4.75
30-Jun-2011,102,4.75
30-Sep-2011,100.2,4.75
31-Dec-2011,99.4,4.25
31-Mar-2012,100,4.25
30-Jun-2012,100.4,3.5
30-Sep-2012,100.2,3.5
31-Dec-2012,102.4,3.0
31-Mar-2013,103.1,3.0
30-Jun-2013,105.7,2.75
30-Sep-2013,108.3,2.5
31-Dec-2013,112.6,2.5
31-Mar-2014,114.2,2.5
30-Jun-2014,116.4,2.5
30-Sep-2014,117.8,2.5
31-Dec-2014,120.2,2.5
31-Mar-2015,122.1,2.25
30-Jun-2015,127.8,2.0
30-Sep-2015,130.4,2.0
31-Dec-2015,130.6,2.0
31-Mar-2016,130.4,2.0
30-Jun-2016,133,1.75
30-Sep-2016,135,1.5
31-Dec-2016,140.6,1.5
31-Mar-2017,143.7,1.5
30-Jun-2017,146.5,1.5
30-Sep-2017,146.2,1.5
31-Dec-2017,147.6,1.5
31-Mar-2018,146.6,1.5
30-Jun-2018,145.6,1.5
30-Sep-2018,143.4,1.5
31-Dec-2018,140,1.5
31-Mar-2019,135.8,1.5
30-Jun-2019,134.8,1.25
30-Sep-2019,138.1,1.0
31-Dec-2019,143.5,0.75
31-Mar-2020,145.8,0.25
30-Jun-2020,143.2,0.25
30-Sep-2020,144.3,0.25
31-Dec-2020,148.7,0.1
